"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 03월 21일","321.60","322.19","322.85","321.46","72.02M","-0.06%"
"2018년 03월 20일","321.79","317.79","321.80","317.66","65.02M","0.45%"
"2018년 03월 19일","320.35","322.57","322.80","319.72","73.05M","-0.78%"
"2018년 03월 16일","322.88","322.94","323.42","320.30","75.86M","0.04%"
"2018년 03월 15일","322.74","322.06","323.44","319.76","70.22M","0.23%"
"2018년 03월 14일","321.99","320.72","322.27","320.39","76.08M","-0.31%"
"2018년 03월 13일","322.98","320.98","322.98","320.37","96.76M","0.71%"
"2018년 03월 12일","320.70","321.32","321.86","319.69","93.55M","0.95%"
"2018년 03월 09일","317.67","316.06","320.47","314.87","108.41M","0.92%"
"2018년 03월 08일","314.78","313.62","314.78","311.04","92.59M","1.17%"
"2018년 03월 07일","311.14","311.57","314.11","309.11","97.31M","0.22%"
"2018년 03월 06일","310.46","308.15","310.65","306.95","87.81M","1.93%"
"2018년 03월 05일","304.58","308.39","308.79","304.46","66.49M","-1.22%"
"2018년 03월 02일","308.35","310.11","310.42","306.88","83.59M","-1.44%"
"2018년 02월 28일","312.86","315.89","317.42","312.75","94.90M","-1.25%"
"2018년 02월 27일","316.83","319.52","320.71","316.83","69.20M","-0.16%"
"2018년 02월 26일","317.34","318.49","318.60","316.12","86.35M","0.17%"
"2018년 02월 23일","316.81","313.89","316.81","313.89","74.33M","1.49%"
"2018년 02월 22일","312.17","312.72","313.49","311.13","65.20M","-0.73%"
"2018년 02월 21일","314.47","313.14","314.95","310.99","61.42M","0.52%"
"2018년 02월 20일","312.83","315.19","315.73","312.20","56.03M","-1.19%"
"2018년 02월 19일","316.61","318.42","318.80","314.51","70.08M","0.70%"
"2018년 02월 14일","314.40","313.33","315.53","312.81","69.23M","1.14%"
"2018년 02월 13일","310.87","310.45","314.15","309.23","86.76M","0.89%"
"2018년 02월 12일","308.13","306.91","309.65","305.17","84.61M","1.08%"
"2018년 02월 09일","304.83","303.54","306.34","303.47","103.31M","-2.18%"
"2018년 02월 08일","311.62","310.84","314.24","309.95","111.64M","0.37%"
"2018년 02월 07일","310.48","322.06","322.10","310.47","106.92M","-2.37%"
"2018년 02월 06일","318.01","316.62","319.15","312.62","126.68M","-1.63%"
"2018년 02월 05일","323.29","322.05","324.64","320.60","101.94M","-1.14%"
"2018년 02월 02일","327.01","332.69","332.69","326.30","100.57M","-1.90%"
"2018년 02월 01일","333.36","335.06","335.66","332.93","92.49M","-0.01%"
"2018년 01월 31일","333.38","332.38","338.48","331.65","113.80M","-0.01%"
"2018년 01월 30일","333.40","336.62","337.88","333.40","109.65M","-1.38%"
"2018년 01월 29일","338.05","337.28","339.27","337.05","121.23M","0.80%"
"2018년 01월 26일","335.38","333.75","335.38","332.51","112.87M","0.39%"
"2018년 01월 25일","334.08","330.67","334.50","330.60","124.68M","0.96%"
"2018년 01월 24일","330.91","330.37","332.44","329.86","89.71M","-0.01%"
"2018년 01월 23일","330.93","327.42","330.93","327.17","102.54M","1.43%"
"2018년 01월 22일","326.27","328.78","328.84","324.56","80.82M","-0.99%"
"2018년 01월 19일","329.52","329.81","330.55","328.51","94.69M","0.12%"
"2018년 01월 18일","329.13","331.03","331.88","328.77","94.90M","-0.02%"
"2018년 01월 17일","329.19","329.31","330.21","328.03","95.20M","-0.25%"
"2018년 01월 16일","330.02","327.44","330.50","326.65","107.82M","0.80%"
"2018년 01월 15일","327.39","328.57","328.94","326.21","98.45M","0.21%"
"2018년 01월 12일","326.72","327.34","327.50","324.22","143.38M","0.32%"
"2018년 01월 11일","325.67","326.92","327.98","325.07","120.94M","-0.59%"
"2018년 01월 10일","327.61","330.87","330.97","327.07","140.73M","-0.80%"
"2018년 01월 09일","330.25","330.67","332.70","328.53","100.98M","-0.31%"
"2018년 01월 08일","331.28","330.83","331.65","328.47","88.48M","0.70%"
"2018년 01월 05일","328.97","326.06","329.03","325.78","96.16M","1.35%"
"2018년 01월 04일","324.58","329.52","329.52","324.58","106.56M","-0.78%"
"2018년 01월 03일","327.13","327.13","328.37","326.56","109.85M","0.35%"
"2018년 01월 02일","326.00","325.73","326.45","324.30","70.74M","0.39%"
